{'City': '0', 'TotalValue': '30'}
{'City': '1211', 'TotalValue': '6374'}
{'City': '1212', 'TotalValue': '6376'}
{'City': '1213', 'TotalValue': '6392'}
{'City': '1214', 'TotalValue': '6403'}
{'City': '1215', 'TotalValue': '6407'}
{'City': '1216', 'TotalValue': '6427'}
{'City': '1217', 'TotalValue': '6427'}
{'City': '1218', 'TotalValue': '6427'}
{'City': '1219', 'TotalValue': '6427'}
{'City': '1220', 'TotalValue': '6431'}
{'City': '1221', 'TotalValue': '6432'}
{'City': '1222', 'TotalValue': '6450'}
{'City': '1223', 'TotalValue': '6450'}
{'City': '1224', 'TotalValue': '6468'}
{'City': '1225', 'TotalValue': '6471'}
{'City': '1226', 'TotalValue': '6482'}
{'City': '1227', 'TotalValue': '6486'}
{'City': '1228', 'TotalValue': '6493'}
{'City': '1229', 'TotalValue': '6511'}
{'City': '1230', 'TotalValue': '6512'}
{'City': '1231', 'TotalValue': '6515'}
{'City': '1232', 'TotalValue': '6534'}
{'City': '1233', 'TotalValue': '6547'}
{'City': '1234', 'TotalValue': '6564'}
{'City': '1235', 'TotalValue': '6565'}
{'City': '1236', 'TotalValue': '6570'}
{'City': '1237', 'TotalValue': '6596'}
{'City': '1238', 'TotalValue': '6612'}
{'City': '1239', 'TotalValue': '6619'}
{'City': '1240', 'TotalValue': '6645'}
{'City': '1241', 'TotalValue': '6649'}
{'City': '1242', 'TotalValue': '6649'}
{'City': '1243', 'TotalValue': '6672'}
{'City': '1244', 'TotalValue': '6672'}
{'City': '1245', 'TotalValue': '7923'}
{'City': '1246', 'TotalValue': '7951'}
{'City': '1247', 'TotalValue': '7953'}
{'City': '1248', 'TotalValue': '7967'}
{'City': '1249', 'TotalValue': '7968'}
{'City': '1250', 'TotalValue': '7968'}
{'City': '1251', 'TotalValue': '7973'}
{'City': '1252', 'TotalValue': '8004'}
{'City': '1253', 'TotalValue': '8007'}
{'City': '1254', 'TotalValue': '8026'}
{'City': '1255', 'TotalValue': '8029'}
{'City': '1256', 'TotalValue': '8071'}
{'City': '1257', 'TotalValue': '8072'}
{'City': '1258', 'TotalValue': '8078'}
{'City': '1259', 'TotalValue': '8079'}
{'City': '1260', 'TotalValue': '8081'}
{'City': '1261', 'TotalValue': '8082'}
{'City': '1262', 'TotalValue': '8083'}
{'City': '1263', 'TotalValue': '8085'}
{'City': '1264', 'TotalValue': '8086'}
{'City': '1265', 'TotalValue': '8092'}
{'City': '1266', 'TotalValue': '8093'}
{'City': '1267', 'TotalValue': '8100'}
{'City': '1268', 'TotalValue': '8113'}
{'City': '1269', 'TotalValue': '8113'}
{'City': '1270', 'TotalValue': '8122'}
{'City': '1271', 'TotalValue': '6686'}
{'City': '1272', 'TotalValue': '6710'}
{'City': '1273', 'TotalValue': '6711'}
{'City': '1274', 'TotalValue': '6712'}
{'City': '1275', 'TotalValue': '6746'}
{'City': '1276', 'TotalValue': '6766'}
{'City': '1277', 'TotalValue': '6778'}
{'City': '1278', 'TotalValue': '6780'}
{'City': '1279', 'TotalValue': '6781'}
{'City': '1280', 'TotalValue': '6781'}
{'City': '1281', 'TotalValue': '6786'}
{'City': '1282', 'TotalValue': '6791'}
{'City': '1283', 'TotalValue': '6808'}
{'City': '1284', 'TotalValue': '6809'}
{'City': '1285', 'TotalValue': '6820'}
{'City': '1286', 'TotalValue': '6820'}
{'City': '1287', 'TotalValue': '6847'}
{'City': '1288', 'TotalValue': '6847'}
{'City': '1289', 'TotalValue': '6864'}
{'City': '1290', 'TotalValue': '6864'}
{'City': '1291', 'TotalValue': '6886'}
{'City': '1292', 'TotalValue': '6886'}
{'City': '1293', 'TotalValue': '6887'}
{'City': '1294', 'TotalValue': '6888'}
{'City': '1295', 'TotalValue': '6890'}
{'City': '1296', 'TotalValue': '6892'}
{'City': '1297', 'TotalValue': '6892'}
{'City': '1298', 'TotalValue': '8122'}
{'City': '1299', 'TotalValue': '8137'}
{'City': '1300', 'TotalValue': '8138'}
{'City': '1301', 'TotalValue': '8139'}
{'City': '1302', 'TotalValue': '8149'}
{'City': '1303', 'TotalValue': '8187'}
{'City': '1304', 'TotalValue': '8196'}
{'City': '1305', 'TotalValue': '8207'}
{'City': '1306', 'TotalValue': '8247'}
{'City': '1307', 'TotalValue': '8253'}
{'City': '1308', 'TotalValue': '8254'}
{'City': '1309', 'TotalValue': '8275'}
{'City': '1310', 'TotalValue': '8275'}
{'City': '1311', 'TotalValue': '8308'}
{'City': '1312', 'TotalValue': '8314'}
{'City': '1313', 'TotalValue': '8332'}
{'City': '1314', 'TotalValue': '8335'}
{'City': '1315', 'TotalValue': '8352'}
{'City': '1316', 'TotalValue': '8360'}
{'City': '1317', 'TotalValue': '8362'}
{'City': '1318', 'TotalValue': '8369'}
{'City': '1319', 'TotalValue': '8428'}
{'City': '1320', 'TotalValue': '8442'}
{'City': '1321', 'TotalValue': '8473'}
{'City': '1322', 'TotalValue': '8494'}
{'City': '1323', 'TotalValue': '6892'}
{'City': '1324', 'TotalValue': '6892'}
{'City': '1325', 'TotalValue': '6902'}
{'City': '1326', 'TotalValue': '6905'}
{'City': '1327', 'TotalValue': '6905'}
{'City': '1328', 'TotalValue': '6928'}
{'City': '1329', 'TotalValue': '6936'}
{'City': '1330', 'TotalValue': '6954'}
{'City': '1331', 'TotalValue': '6962'}
{'City': '1332', 'TotalValue': '6980'}
{'City': '1333', 'TotalValue': '6982'}
{'City': '1334', 'TotalValue': '6999'}
{'City': '1335', 'TotalValue': '7011'}
{'City': '1336', 'TotalValue': '7012'}
{'City': '1337', 'TotalValue': '7014'}
{'City': '1338', 'TotalValue': '7014'}
{'City': '1339', 'TotalValue': '7027'}
{'City': '1340', 'TotalValue': '7030'}
{'City': '1341', 'TotalValue': '7058'}
{'City': '1342', 'TotalValue': '7058'}
{'City': '1343', 'TotalValue': '7075'}
{'City': '1344', 'TotalValue': '7096'}
{'City': '1345', 'TotalValue': '7107'}
{'City': '1346', 'TotalValue': '7134'}
{'City': '1347', 'TotalValue': '7147'}
{'City': '1348', 'TotalValue': '7148'}
{'City': '1349', 'TotalValue': '8537'}
{'City': '1350', 'TotalValue': '8552'}
{'City': '1351', 'TotalValue': '8552'}
{'City': '1352', 'TotalValue': '8565'}
{'City': '1353', 'TotalValue': '8574'}
{'City': '1354', 'TotalValue': '8578'}
{'City': '1355', 'TotalValue': '8582'}
{'City': '1356', 'TotalValue': '8584'}
{'City': '1357', 'TotalValue': '8584'}
{'City': '1358', 'TotalValue': '8627'}
{'City': '1359', 'TotalValue': '8632'}
{'City': '1360', 'TotalValue': '8633'}
{'City': '1361', 'TotalValue': '8635'}
{'City': '1362', 'TotalValue': '8636'}
{'City': '1363', 'TotalValue': '8637'}
{'City': '1364', 'TotalValue': '8638'}
{'City': '1365', 'TotalValue': '8639'}
{'City': '1366', 'TotalValue': '8658'}
{'City': '1367', 'TotalValue': '8662'}
{'City': '1368', 'TotalValue': '8695'}
{'City': '1369', 'TotalValue': '8695'}
{'City': '1370', 'TotalValue': '8695'}
{'City': '1371', 'TotalValue': '8696'}
{'City': '1372', 'TotalValue': '8696'}
{'City': '1373', 'TotalValue': '8698'}
{'City': '1374', 'TotalValue': '8746'}
{'City': '1375', 'TotalValue': '8756'}
{'City': '1376', 'TotalValue': '7148'}
{'City': '1377', 'TotalValue': '7150'}
{'City': '1378', 'TotalValue': '7150'}
{'City': '1379', 'TotalValue': '7153'}
{'City': '1380', 'TotalValue': '7162'}
{'City': '1381', 'TotalValue': '7168'}
{'City': '1382', 'TotalValue': '7171'}
{'City': '1383', 'TotalValue': '7189'}
{'City': '1384', 'TotalValue': '7190'}
{'City': '1385', 'TotalValue': '7219'}
{'City': '1386', 'TotalValue': '7228'}
{'City': '1387', 'TotalValue': '7244'}
{'City': '1388', 'TotalValue': '7244'}
{'City': '1389', 'TotalValue': '7250'}
{'City': '1390', 'TotalValue': '7290'}
{'City': '1391', 'TotalValue': '7304'}
{'City': '1392', 'TotalValue': '7316'}
{'City': '1393', 'TotalValue': '7318'}
{'City': '1394', 'TotalValue': '7318'}
{'City': '1395', 'TotalValue': '7322'}
{'City': '1396', 'TotalValue': '7331'}
{'City': '1397', 'TotalValue': '7346'}
{'City': '1398', 'TotalValue': '7347'}
{'City': '1399', 'TotalValue': '7352'}
{'City': '1400', 'TotalValue': '7354'}
{'City': '1401', 'TotalValue': '7401'}
{'City': '1402', 'TotalValue': '8756'}
{'City': '1403', 'TotalValue': '8773'}
{'City': '1404', 'TotalValue': '8806'}
{'City': '1405', 'TotalValue': '8806'}
{'City': '1406', 'TotalValue': '8833'}
{'City': '1407', 'TotalValue': '8839'}
{'City': '1408', 'TotalValue': '8856'}
{'City': '1409', 'TotalValue': '8881'}
{'City': '1410', 'TotalValue': '8888'}
{'City': '1411', 'TotalValue': '8888'}
{'City': '1412', 'TotalValue': '8888'}
{'City': '1413', 'TotalValue': '8897'}
{'City': '1414', 'TotalValue': '8922'}
{'City': '1415', 'TotalValue': '8923'}
{'City': '1416', 'TotalValue': '8937'}
{'City': '1417', 'TotalValue': '8937'}
{'City': '1418', 'TotalValue': '8941'}
{'City': '1419', 'TotalValue': '8975'}
{'City': '1420', 'TotalValue': '8978'}
{'City': '1421', 'TotalValue': '8980'}
{'City': '1422', 'TotalValue': '8982'}
{'City': '1423', 'TotalValue': '8984'}
{'City': '1424', 'TotalValue': '8988'}
{'City': '1425', 'TotalValue': '8992'}
{'City': '1426', 'TotalValue': '9002'}
{'City': '1427', 'TotalValue': '9003'}
{'City': '1428', 'TotalValue': '7412'}
{'City': '1429', 'TotalValue': '7419'}
{'City': '1430', 'TotalValue': '7420'}
{'City': '1431', 'TotalValue': '7448'}
{'City': '1432', 'TotalValue': '7449'}
{'City': '1433', 'TotalValue': '7482'}
{'City': '1434', 'TotalValue': '7485'}
{'City': '1435', 'TotalValue': '7487'}
{'City': '1436', 'TotalValue': '7487'}
{'City': '1437', 'TotalValue': '7489'}
{'City': '1438', 'TotalValue': '7507'}
{'City': '1439', 'TotalValue': '7510'}
{'City': '1440', 'TotalValue': '7516'}
{'City': '1441', 'TotalValue': '7517'}
{'City': '1442', 'TotalValue': '7518'}
{'City': '1443', 'TotalValue': '7530'}
{'City': '1444', 'TotalValue': '7541'}
{'City': '1445', 'TotalValue': '7544'}
{'City': '1446', 'TotalValue': '7567'}
{'City': '1447', 'TotalValue': '7569'}
{'City': '1448', 'TotalValue': '7569'}
{'City': '1449', 'TotalValue': '7577'}
{'City': '1450', 'TotalValue': '7577'}
{'City': '1451', 'TotalValue': '7578'}
{'City': '1452', 'TotalValue': '7578'}
{'City': '1453', 'TotalValue': '7579'}
{'City': '1454', 'TotalValue': '7586'}
{'City': '1455', 'TotalValue': '9014'}
{'City': '1456', 'TotalValue': '9014'}
{'City': '1457', 'TotalValue': '9017'}
{'City': '1458', 'TotalValue': '9040'}
{'City': '1459', 'TotalValue': '9091'}
{'City': '1460', 'TotalValue': '9096'}
{'City': '1461', 'TotalValue': '9096'}
{'City': '1462', 'TotalValue': '9152'}
{'City': '1463', 'TotalValue': '9152'}
{'City': '1464', 'TotalValue': '9169'}
{'City': '1465', 'TotalValue': '9190'}
{'City': '1466', 'TotalValue': '9192'}
{'City': '1467', 'TotalValue': '9192'}
{'City': '1468', 'TotalValue': '9205'}
{'City': '1469', 'TotalValue': '9227'}
{'City': '1470', 'TotalValue': '9280'}
{'City': '1471', 'TotalValue': '9290'}
{'City': '1472', 'TotalValue': '9312'}
{'City': '1473', 'TotalValue': '9318'}
{'City': '1474', 'TotalValue': '9352'}
{'City': '1475', 'TotalValue': '9370'}
{'City': '1476', 'TotalValue': '9381'}
{'City': '1477', 'TotalValue': '14583'}
{'City': '1478', 'TotalValue': '9383'}
{'City': '1479', 'TotalValue': '9386'}
{'City': '1480', 'TotalValue': '9391'}
{'City': '1481', 'TotalValue': '9392'}
{'City': '1482', 'TotalValue': '9413'}
{'City': '1483', 'TotalValue': '7591'}
{'City': '1484', 'TotalValue': '7610'}
{'City': '1485', 'TotalValue': '7620'}
{'City': '1486', 'TotalValue': '7624'}
{'City': '1487', 'TotalValue': '7641'}
{'City': '1488', 'TotalValue': '7643'}
{'City': '1489', 'TotalValue': '7648'}
{'City': '1490', 'TotalValue': '7661'}
{'City': '1491', 'TotalValue': '7671'}
{'City': '1492', 'TotalValue': '7675'}
{'City': '1493', 'TotalValue': '7676'}
{'City': '1494', 'TotalValue': '7683'}
{'City': '1495', 'TotalValue': '7683'}
{'City': '1496', 'TotalValue': '7683'}
{'City': '1497', 'TotalValue': '7690'}
{'City': '1498', 'TotalValue': '7701'}
{'City': '1499', 'TotalValue': '7718'}
{'City': '1500', 'TotalValue': '7732'}
{'City': '1501', 'TotalValue': '7743'}
{'City': '1502', 'TotalValue': '7745'}
{'City': '1503', 'TotalValue': '7753'}
{'City': '1504', 'TotalValue': '7755'}
{'City': '1505', 'TotalValue': '7766'}
{'City': '1506', 'TotalValue': '7796'}
{'City': '1507', 'TotalValue': '7797'}
{'City': '1508', 'TotalValue': '7799'}
{'City': '1509', 'TotalValue': '9420'}
{'City': '1510', 'TotalValue': '9431'}
{'City': '1511', 'TotalValue': '9449'}
{'City': '1512', 'TotalValue': '9451'}
{'City': '1513', 'TotalValue': '9462'}
{'City': '1514', 'TotalValue': '9465'}
{'City': '1515', 'TotalValue': '9485'}
{'City': '1516', 'TotalValue': '9493'}
{'City': '1517', 'TotalValue': '9524'}
{'City': '1518', 'TotalValue': '9529'}
{'City': '1519', 'TotalValue': '9530'}
{'City': '1520', 'TotalValue': '9531'}
{'City': '1521', 'TotalValue': '9537'}
{'City': '1522', 'TotalValue': '9551'}
{'City': '1523', 'TotalValue': '9557'}
{'City': '1524', 'TotalValue': '9564'}
{'City': '1525', 'TotalValue': '9566'}
{'City': '1526', 'TotalValue': '9588'}
{'City': '1527', 'TotalValue': '9592'}
{'City': '1528', 'TotalValue': '9597'}
{'City': '1529', 'TotalValue': '9607'}
{'City': '1530', 'TotalValue': '9611'}
{'City': '1531', 'TotalValue': '9635'}
{'City': '1532', 'TotalValue': '9668'}
{'City': '1533', 'TotalValue': '9671'}
{'City': '1534', 'TotalValue': '9724'}
{'City': '1535', 'TotalValue': '9740'}
{'City': '1536', 'TotalValue': '7799'}
{'City': '1537', 'TotalValue': '7825'}
{'City': '1538', 'TotalValue': '7832'}
{'City': '1539', 'TotalValue': '7837'}
{'City': '1540', 'TotalValue': '7851'}
{'City': '1541', 'TotalValue': '7854'}
{'City': '1542', 'TotalValue': '7859'}
{'City': '1543', 'TotalValue': '7859'}
{'City': '1544', 'TotalValue': '7862'}
{'City': '1545', 'TotalValue': '7885'}
{'City': '1546', 'TotalValue': '7903'}
{'City': '1547', 'TotalValue': '7943'}
{'City': '1548', 'TotalValue': '7964'}
{'City': '1549', 'TotalValue': '7966'}
{'City': '1550', 'TotalValue': '7966'}
{'City': '1551', 'TotalValue': '7968'}
{'City': '1552', 'TotalValue': '7973'}
{'City': '1553', 'TotalValue': '7973'}
{'City': '1554', 'TotalValue': '7990'}
{'City': '1555', 'TotalValue': '7998'}
{'City': '1556', 'TotalValue': '7998'}
{'City': '1557', 'TotalValue': '8032'}
{'City': '1558', 'TotalValue': '8038'}
{'City': '1559', 'TotalValue': '8044'}
{'City': '1560', 'TotalValue': '8076'}
{'City': '1561', 'TotalValue': '8077'}
{'City': '1562', 'TotalValue': '9745'}
{'City': '1563', 'TotalValue': '9746'}
{'City': '1564', 'TotalValue': '9766'}
{'City': '1565', 'TotalValue': '9771'}
{'City': '1566', 'TotalValue': '9771'}
{'City': '1567', 'TotalValue': '9775'}
{'City': '1568', 'TotalValue': '9782'}
{'City': '1569', 'TotalValue': '9792'}
{'City': '1570', 'TotalValue': '9797'}
{'City': '1571', 'TotalValue': '9800'}
{'City': '1572', 'TotalValue': '9805'}
{'City': '1573', 'TotalValue': '9809'}
{'City': '1574', 'TotalValue': '9814'}
{'City': '1575', 'TotalValue': '9814'}
{'City': '1576', 'TotalValue': '9847'}
{'City': '1577', 'TotalValue': '9879'}
{'City': '1578', 'TotalValue': '9892'}
{'City': '1579', 'TotalValue': '9895'}
{'City': '1580', 'TotalValue': '9897'}
{'City': '1581', 'TotalValue': '9900'}
{'City': '1582', 'TotalValue': '9953'}
{'City': '1583', 'TotalValue': '9955'}
{'City': '1584', 'TotalValue': '9958'}
{'City': '1585', 'TotalValue': '9973'}
{'City': '1586', 'TotalValue': '10000'}
{'City': '1587', 'TotalValue': '10015'}
{'City': '1588', 'TotalValue': '10076'}
{'City': '1589', 'TotalValue': '8087'}
{'City': '1590', 'TotalValue': '8087'}
{'City': '1591', 'TotalValue': '8089'}
{'City': '1592', 'TotalValue': '8090'}
{'City': '1593', 'TotalValue': '8091'}
{'City': '1594', 'TotalValue': '8093'}
{'City': '1595', 'TotalValue': '8094'}
{'City': '1596', 'TotalValue': '8096'}
{'City': '1597', 'TotalValue': '8099'}
{'City': '1598', 'TotalValue': '8117'}
{'City': '1599', 'TotalValue': '8118'}
{'City': '1600', 'TotalValue': '8119'}
{'City': '1601', 'TotalValue': '8136'}
{'City': '1602', 'TotalValue': '8146'}
{'City': '1603', 'TotalValue': '8161'}
{'City': '1604', 'TotalValue': '8201'}
{'City': '1605', 'TotalValue': '8201'}
{'City': '1606', 'TotalValue': '8206'}
{'City': '1607', 'TotalValue': '8206'}
{'City': '1608', 'TotalValue': '8210'}
{'City': '1609', 'TotalValue': '8210'}
{'City': '1610', 'TotalValue': '8210'}
{'City': '1611', 'TotalValue': '8226'}
{'City': '1612', 'TotalValue': '8275'}
{'City': '1613', 'TotalValue': '8277'}
{'City': '1614', 'TotalValue': '8290'}
{'City': '1615', 'TotalValue': '8296'}
{'City': '1616', 'TotalValue': '8296'}
{'City': '1617', 'TotalValue': '8313'}
{'City': '1618', 'TotalValue': '8343'}
{'City': '1619', 'TotalValue': '8352'}
{'City': '1620', 'TotalValue': '8353'}
{'City': '1621', 'TotalValue': '8366'}
{'City': '1622', 'TotalValue': '8385'}
{'City': '1623', 'TotalValue': '8442'}
{'City': '1624', 'TotalValue': '8477'}
{'City': '1625', 'TotalValue': '8514'}
{'City': '1626', 'TotalValue': '8530'}
{'City': '1627', 'TotalValue': '8552'}
{'City': '1628', 'TotalValue': '8557'}
{'City': '1629', 'TotalValue': '8578'}
{'City': '1630', 'TotalValue': '8578'}
{'City': '1631', 'TotalValue': '8607'}
{'City': '1632', 'TotalValue': '8613'}
{'City': '1633', 'TotalValue': '8627'}
{'City': '1634', 'TotalValue': '8632'}
{'City': '1635', 'TotalValue': '8632'}
{'City': '1636', 'TotalValue': '8639'}
{'City': '1637', 'TotalValue': '8643'}
{'City': '1638', 'TotalValue': '8663'}
{'City': '1639', 'TotalValue': '8689'}
{'City': '1640', 'TotalValue': '8695'}
{'City': '1641', 'TotalValue': '10085'}
{'City': '1642', 'TotalValue': '10088'}
{'City': '1643', 'TotalValue': '10110'}
{'City': '1644', 'TotalValue': '10124'}
{'City': '1645', 'TotalValue': '10127'}
{'City': '1646', 'TotalValue': '10130'}
{'City': '1647', 'TotalValue': '10141'}
{'City': '1648', 'TotalValue': '10145'}
{'City': '1649', 'TotalValue': '10168'}
{'City': '1650', 'TotalValue': '10180'}
{'City': '1651', 'TotalValue': '10191'}
{'City': '1652', 'TotalValue': '10207'}
{'City': '1653', 'TotalValue': '10209'}
{'City': '1654', 'TotalValue': '10226'}
{'City': '1655', 'TotalValue': '10237'}
{'City': '1656', 'TotalValue': '10246'}
{'City': '1657', 'TotalValue': '10258'}
{'City': '1658', 'TotalValue': '10262'}
{'City': '1659', 'TotalValue': '10268'}
{'City': '1660', 'TotalValue': '10283'}
{'City': '1661', 'TotalValue': '10287'}
{'City': '1662', 'TotalValue': '10326'}
{'City': '1663', 'TotalValue': '10345'}
{'City': '1664', 'TotalValue': '10345'}
{'City': '1665', 'TotalValue': '10370'}
{'City': '1666', 'TotalValue': '10390'}
{'City': '1667', 'TotalValue': '10393'}
{'City': '1668', 'TotalValue': '8696'}
{'City': '1669', 'TotalValue': '8696'}
{'City': '1670', 'TotalValue': '8699'}
{'City': '1671', 'TotalValue': '8718'}
{'City': '1672', 'TotalValue': '8719'}
{'City': '1673', 'TotalValue': '8736'}
{'City': '1674', 'TotalValue': '8752'}
{'City': '1675', 'TotalValue': '8767'}
{'City': '1676', 'TotalValue': '8768'}
{'City': '1677', 'TotalValue': '8769'}
{'City': '1678', 'TotalValue': '8773'}
{'City': '1679', 'TotalValue': '8782'}
{'City': '1680', 'TotalValue': '8782'}
{'City': '1681', 'TotalValue': '8796'}
{'City': '1682', 'TotalValue': '8850'}
{'City': '1683', 'TotalValue': '8856'}
{'City': '1684', 'TotalValue': '8866'}
{'City': '1685', 'TotalValue': '8869'}
{'City': '1686', 'TotalValue': '8869'}
{'City': '1687', 'TotalValue': '8888'}
{'City': '1688', 'TotalValue': '8888'}
{'City': '1689', 'TotalValue': '8888'}
{'City': '1690', 'TotalValue': '8892'}
{'City': '1691', 'TotalValue': '8892'}
{'City': '1692', 'TotalValue': '8892'}
{'City': '1693', 'TotalValue': '8911'}
{'City': '1694', 'TotalValue': '10393'}
{'City': '1695', 'TotalValue': '10393'}
{'City': '1696', 'TotalValue': '10393'}
{'City': '1697', 'TotalValue': '10393'}
{'City': '1698', 'TotalValue': '10395'}
{'City': '1699', 'TotalValue': '10395'}
{'City': '1700', 'TotalValue': '10395'}
{'City': '1701', 'TotalValue': '10396'}
{'City': '1702', 'TotalValue': '10396'}
{'City': '1703', 'TotalValue': '10396'}
{'City': '1704', 'TotalValue': '10396'}
{'City': '1705', 'TotalValue': '10396'}
{'City': '1706', 'TotalValue': '10396'}
{'City': '1707', 'TotalValue': '10413'}
{'City': '1708', 'TotalValue': '10424'}
{'City': '1709', 'TotalValue': '10424'}
{'City': '1710', 'TotalValue': '10425'}
{'City': '1711', 'TotalValue': '10426'}
{'City': '1712', 'TotalValue': '10426'}
{'City': '1713', 'TotalValue': '10432'}
{'City': '1714', 'TotalValue': '10484'}
{'City': '1715', 'TotalValue': '10494'}
{'City': '1716', 'TotalValue': '10496'}
{'City': '1717', 'TotalValue': '10498'}
{'City': '1718', 'TotalValue': '10538'}
{'City': '1719', 'TotalValue': '10539'}
{'City': '1720', 'TotalValue': '8911'}
{'City': '1721', 'TotalValue': '8916'}
{'City': '1722', 'TotalValue': '8942'}
{'City': '1723', 'TotalValue': '8945'}
{'City': '1724', 'TotalValue': '8978'}
{'City': '1725', 'TotalValue': '8983'}
{'City': '1726', 'TotalValue': '8983'}
{'City': '1727', 'TotalValue': '9011'}
{'City': '1728', 'TotalValue': '9017'}
{'City': '1729', 'TotalValue': '9017'}
{'City': '1730', 'TotalValue': '9057'}
{'City': '1731', 'TotalValue': '9061'}
{'City': '1732', 'TotalValue': '9093'}
{'City': '1733', 'TotalValue': '9112'}
{'City': '1734', 'TotalValue': '9144'}
{'City': '1735', 'TotalValue': '9149'}
{'City': '1736', 'TotalValue': '9164'}
{'City': '1737', 'TotalValue': '9174'}
{'City': '1738', 'TotalValue': '9177'}
{'City': '1739', 'TotalValue': '9196'}
{'City': '1740', 'TotalValue': '9202'}
{'City': '1741', 'TotalValue': '9202'}
{'City': '1742', 'TotalValue': '9220'}
{'City': '1743', 'TotalValue': '9225'}
{'City': '1744', 'TotalValue': '9227'}
{'City': '1745', 'TotalValue': '9242'}
{'City': '1746', 'TotalValue': '10540'}
{'City': '1747', 'TotalValue': '10541'}
{'City': '1748', 'TotalValue': '10549'}
{'City': '1749', 'TotalValue': '10555'}
{'City': '1750', 'TotalValue': '10567'}
{'City': '1751', 'TotalValue': '10584'}
{'City': '1752', 'TotalValue': '10603'}
{'City': '1753', 'TotalValue': '10609'}
{'City': '1754', 'TotalValue': '10640'}
{'City': '1755', 'TotalValue': '10640'}
{'City': '1756', 'TotalValue': '10640'}
{'City': '1757', 'TotalValue': '10654'}
{'City': '1758', 'TotalValue': '10656'}
{'City': '1759', 'TotalValue': '10777'}
{'City': '1760', 'TotalValue': '10782'}
{'City': '1761', 'TotalValue': '10805'}
{'City': '1762', 'TotalValue': '10810'}
{'City': '1763', 'TotalValue': '10820'}
{'City': '1764', 'TotalValue': '10820'}
{'City': '1765', 'TotalValue': '10826'}
{'City': '1766', 'TotalValue': '10836'}
{'City': '1767', 'TotalValue': '10836'}
{'City': '1768', 'TotalValue': '10859'}
{'City': '1769', 'TotalValue': '10879'}
{'City': '1770', 'TotalValue': '10886'}
{'City': '1771', 'TotalValue': '10894'}
{'City': '1772', 'TotalValue': '10929'}
{'City': '1773', 'TotalValue': '9242'}
{'City': '1774', 'TotalValue': '9249'}
{'City': '1775', 'TotalValue': '9367'}
{'City': '1776', 'TotalValue': '9372'}
{'City': '1777', 'TotalValue': '9373'}
{'City': '1778', 'TotalValue': '9383'}
{'City': '1779', 'TotalValue': '9420'}
{'City': '1780', 'TotalValue': '9431'}
{'City': '1781', 'TotalValue': '9439'}
{'City': '1782', 'TotalValue': '9467'}
{'City': '1783', 'TotalValue': '9513'}
{'City': '1784', 'TotalValue': '9525'}
{'City': '1785', 'TotalValue': '9529'}
{'City': '1786', 'TotalValue': '9545'}
{'City': '1787', 'TotalValue': '9555'}
{'City': '1788', 'TotalValue': '9564'}
{'City': '1789', 'TotalValue': '9578'}
{'City': '1790', 'TotalValue': '9579'}
{'City': '1791', 'TotalValue': '9582'}
{'City': '1792', 'TotalValue': '9582'}
{'City': '1793', 'TotalValue': '9585'}
{'City': '1794', 'TotalValue': '9597'}
{'City': '1795', 'TotalValue': '9597'}
{'City': '1796', 'TotalValue': '9604'}
{'City': '1797', 'TotalValue': '9611'}
{'City': '1798', 'TotalValue': '9613'}
{'City': '1799', 'TotalValue': '9655'}
{'City': '1800', 'TotalValue': '10931'}
{'City': '1801', 'TotalValue': '10932'}
{'City': '1802', 'TotalValue': '10936'}
{'City': '1803', 'TotalValue': '10937'}
{'City': '1804', 'TotalValue': '10953'}
{'City': '1805', 'TotalValue': '10975'}
{'City': '1806', 'TotalValue': '10988'}
{'City': '1807', 'TotalValue': '10988'}
{'City': '1808', 'TotalValue': '11022'}
{'City': '1809', 'TotalValue': '11022'}
{'City': '1810', 'TotalValue': '11028'}
{'City': '1811', 'TotalValue': '11033'}
{'City': '1812', 'TotalValue': '11059'}
{'City': '1813', 'TotalValue': '11083'}
{'City': '1814', 'TotalValue': '11093'}
{'City': '1815', 'TotalValue': '11145'}
{'City': '1816', 'TotalValue': '11157'}
{'City': '1817', 'TotalValue': '11196'}
{'City': '1818', 'TotalValue': '11200'}
{'City': '1819', 'TotalValue': '11200'}
{'City': '1820', 'TotalValue': '11214'}
{'City': '1821', 'TotalValue': '11226'}
{'City': '1822', 'TotalValue': '11226'}
{'City': '1823', 'TotalValue': '11229'}
{'City': '1824', 'TotalValue': '11233'}
{'City': '1825', 'TotalValue': '11262'}
{'City': '1826', 'TotalValue': '11277'}
{'City': '1827', 'TotalValue': '11279'}
{'City': '1828', 'TotalValue': '11301'}
{'City': '1829', 'TotalValue': '11303'}
{'City': '1830', 'TotalValue': '11309'}
{'City': '1831', 'TotalValue': '11309'}
{'City': '1832', 'TotalValue': '11373'}
{'City': '1833', 'TotalValue': '11443'}
{'City': '1834', 'TotalValue': '11488'}
{'City': '1835', 'TotalValue': '11509'}
{'City': '1836', 'TotalValue': '11552'}
{'City': '1837', 'TotalValue': '11591'}
{'City': '1838', 'TotalValue': '11619'}
{'City': '1839', 'TotalValue': '11629'}
{'City': '1840', 'TotalValue': '11632'}
{'City': '1841', 'TotalValue': '11652'}
{'City': '1842', 'TotalValue': '11694'}
{'City': '1843', 'TotalValue': '11696'}
{'City': '1844', 'TotalValue': '11697'}
{'City': '1845', 'TotalValue': '11733'}
